ID,PRODUCTO,KCAL,VITAMINA A,FIBRA,CALCIO,HIERRO
1,Brocoli,34,623 UI,2.6 gr,47 mg,0.73 mg
2,Cebolla,40,2 UI,9.3 gr,23 mg,0.21 mg
3,Esparrago,20,756 UI,3.9 gr,24 mg,2.14 mg
4,Lechuga,13,3312 UI,2.2 gr,35 mg,1.24 mg
5,Nopal,16,457 UI,3.3 gr,164 mg,0.59 mg
6,Fresa,32,12 UI,7.7 gr,16 mg,0.41 mg
7,Ciruela,41,914 UI,11 gr,7 mg,0.16 mg
8,Manzana,52,54 UI,13.8 gr,6 mg,0.12 mg
9,Kiwi,61,87 UI,14.7 gr,34 mg,0.31 mg
10,Mango,60,1082 UI,15 gr,11 mg,0.16 mg
11,Atun,130,65 UI,0,4 mg,0.92 mg
12,Camaron ,85,0,0,64 mg,0.52 mg
13,Tocino,407,0,0.8 gr,4 mg,0.42 mg
14,Carne de cerdo,898,37 UI,0,1 mg,0.13 mg
15,Pavo,208,0,0,26 mg,1.79 mg
16,Ala de Pollo,211,58 UI,3.3 gr,28 mg,2.41 mg
17,Alubias,155,0,21.6 gr,61 mg,1.99 mg
18,Frijoles,71,150 UI,13.3 gr,28 mg,1.61 mg
19,Garbanzo,378,67 UI,63 gr,57 mg,4.31 mg
20,Lentejas,352,39 UI,10.7 gr,35 mg,6.51 mg
21,Soya,173,9 UI,9.9 gr,102 mg,5.14 mg
22,Carne Molida,295,0,0,11 mg,2.42 mg
23,Costilla de res,240,5 UI,0,11 mg,2.37 mg
24,Carne de lomo,211,22 UI,0,13 mg,3.24 mg
25,Chuleta de res,234,6 UI,0,7 mg,2.47 mg
26,Molleja de pollo,94,64 UI,0,11 mg,2.49 mg
27,Crema,257,685 UI,12.5 gr,101 mg,0.05 mg
28,Dulce de leche,315,261 UI,55.4 gr,251 mg,0.17 mg
29,Huevo,185,674 UI,1.5 gr,64 mg,3.85 mg
30,Leche,64,138 UI,4.7 gr,119 mg,0.05 mg
31,Avena,379,0,67.7 gr,52 mg,4.25 mg
32,Arroz inlfado,402,0,89.8 gr,6 mg,31.7 mg
33,Cebada,354,22 UI,73.5 gr,33 mg,3.6 mg
34,Spagueti,100,264 UI,11.5 gr,29 mg,1.03 mg
35,Maiz,365,214 UI,74.3 gr,7 mg,2.71 mg
36,Trigo,329,9 UI,69 gr,25 mg,3.6 mg
37,Aceite de maiz,900,0,0,0,0
38,Mantequilla,717,2599 UI,0.1 gr,24 mg,0.02 mg
39,Mayonesa,361,70 UI,0,0,0
40,Margarina,628,3571 UI,1.5 gr,7 mg,0.12 mg
41,Chorizo,455,0,1.9 gr,8 mg,1.59 mg
42,Agua,1,0,0.1 gr,1 mg,4 mg
43,Naranjada,49,8 UI,12.3 gr,5 mg,0.04 mg
44,Red Bull,45,0,210.9 gr,13 mg,0.02 mg
45,Limonada,380,0,97.9 gr,11 mg,0.17 mg